objectid,parentid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript
js_011,,Guests check and yellow note,,8/14/1929,,kosher food,"Topeka, Kansas",,,Dr. David Katzman and Sharyn Brooks Katzman,,Image;StillImage,image/jpeg,eng,,https://rightsstatements.org/page/NKC/1.0/?language=en,image,https://jewishkansans.org/objects/js_011.jpg,https://jewishkansans.org/objects/thumbs/tn_js_011.jpg,https://jewishkansans.org/objects/thumbs/tn_js_011.jpg,,
js_012,,Bellefaire: The Cleveland Jewish Orphan Home Letter,,,"Jewish tradition obligates care for orphans and widows. From the Civil War to the 1920s high mortality rates and large families left orphans without a parent or with a single parent unable to provide support. B’nai B’rith Grand Lodge #2, covering the Midwest, established in 1868 the Cleveland Jewish Orphan Home, renamed Bellefaire in the 1920s. Jewish organizations, notably women’s benevolent societies and individuals, especially merchants, regularly contributed to support the Cleveland home. Contributions also served as a tie to the national Jewish community.",letters,,,,Dr. David Katzman and Sharyn Brooks Katzman,,Image;StillImage,image/jpeg,eng,,https://rightsstatements.org/page/NKC/1.0/?language=en,image,https://jewishkansans.org/objects/js_012.jpg,https://jewishkansans.org/objects/thumbs/tn_js_012.jpg,https://jewishkansans.org/objects/thumbs/tn_js_012.jpg,,
js_013,,"Palace Clothing Co. Auerbach and Guettel Note, October 8 1900",,10/8/1900,,charity,"Topeka, Kansas",39.05029761,-95.67451349,Dr. David Katzman and Sharyn Brooks Katzman,,Image;StillImage,image/jpeg,eng,,https://rightsstatements.org/page/NKC/1.0/?language=en,multiple,https://jewishkansans.org/objects/js_013a.jpg,https://jewishkansans.org/objects/thumbs/tn_js_013a.jpg,https://jewishkansans.org/objects/thumbs/tn_js_013a.jpg,,
js_013a,js_013,"Palace Clothing Co. Auerbach and Guettel Note, October 8 1900",,10/9/1900,,charity,"Topeka, Kansas",39.05029761,-95.67451349,Dr. David Katzman and Sharyn Brooks Katzman,,Image;StillImage,image/jpeg,eng,,https://rightsstatements.org/page/NKC/1.0/?language=en,image,https://jewishkansans.org/objects/js_013a.jpg,https://jewishkansans.org/objects/thumbs/tn_js_013a.jpg,https://jewishkansans.org/objects/thumbs/tn_js_013a.jpg,,
js_013b,js_013,"Palace Clothing Co. Auerbach and Guettel Note, October 8 1900",,10/10/1900,,charity,"Topeka, Kansas",39.05029761,-95.67451349,Dr. David Katzman and Sharyn Brooks Katzman,,Image;StillImage,image/jpeg,eng,,https://rightsstatements.org/page/NKC/1.0/?language=en,image,https://jewishkansans.org/objects/js_013b.jpg,https://jewishkansans.org/objects/thumbs/tn_js_013b.jpg,https://jewishkansans.org/objects/thumbs/tn_js_013b.jpg,,
js_014,,"Note to the President and Members of the Ladies Heb. Ben. Society, from Topkea Taby(?)",,,,hbls,"Topeka, Kansas",,,Dr. David Katzman and Sharyn Brooks Katzman,,Image;StillImage,image/jpeg,eng,,https://rightsstatements.org/page/NKC/1.0/?language=en,image,https://jewishkansans.org/objects/js_014.jpg,https://jewishkansans.org/objects/thumbs/tn_js_014.jpg,https://jewishkansans.org/objects/thumbs/tn_js_014.jpg,Handwritten note addressed to the Hebrew Ladies Benevolent Society,"Topeka […]by 20/98
To the President and Members of the Ladies’ Heb. Ben. Society:
At a recent meeting of the Board of directors your proposition pertaining to your contemplated Purim festival was duly communicated and after a debate on the subject the following resolutions were offered and adopted. 

A.        That it is the sense of this meeting of Board of directors, that the Lad. Society be requested to change its plan […] […] the festival and make […] […] […] – so as to include the children of the members of either society under 15 years of age to be entitled to participate."
js_015,,Evelope from Industrial Removal Office to Mrs. N. Smattinger,Industrial Removal Office,,,letters,,,,Dr. David Katzman and Sharyn Brooks Katzman,,Image;StillImage,image/jpeg,eng,,https://rightsstatements.org/page/NKC/1.0/?language=en,image,https://jewishkansans.org/objects/js_015.jpg,https://jewishkansans.org/objects/thumbs/tn_js_015.jpg,https://jewishkansans.org/objects/thumbs/tn_js_015.jpg,Torn envelope from the Industrial Removal Office,"INDUSTRIAL REMOVAL OFFICE,
104 RIVINGTON STREET,
New York.
Mrs. N. Smattinger
Secy. H.I.B Society
Topeka, Kas"
js_016,,Blintz Brunch Poster,Herda Galton,,"The first Blintz Brunch was held in 1964. This poster, from a later Blintz Brunch, was by artist Herta Galton (1914-2020). Galton fled Vienna for London in 1938, working first as a maid, then after the war, for Radio Free Europe. She returned to Vienna for art school in the 1950s, then moving to the United States with her then husband in 1962. She earned a degree at the University of Kansas, and taught art in her own studio while exhibiting her own work—paintings and woodcuts—at galleries and museums. She designed and printed this poster for the Blintz Brunch while a member of the congregation. Though she moved to California in 1976 to join her daughter, she was a frequent visitor to Lawrence.",,"Lawrence, Kansas",38.96736397,-95.2594245,Dr. David Katzman and Sharyn Brooks Katzman,,Image;StillImage,image/jpeg,eng,,https://rightsstatements.org/page/NKC/1.0/?language=en,image,https://jewishkansans.org/objects/js_016.png,https://jewishkansans.org/objects/thumbs/tn_js_016.png,https://jewishkansans.org/objects/thumbs/tn_js_016.png,"Line drawing of three people offerring a plate of food with the phrase ""Come to our Blintzbrunch""",
js_017,,Note certifying Hebrew Ladies Benevolent Society subscription from National Jewish Hospital for Consumptives,,,"In 1899 a number of Jewish organizations sponsored the National Jewish Hospital for Consumption to treat tuberculosis (TB) patients. The Denver hospital offered sunshine, a dry climate and medical care for patients with TB, sometimes called the Tailor’s or Jewish disease, which seemed to plague Ashkenazi Jews. It spread among urban populations because of their density—New York City’s Lower East Side had 1100 people per acre—and local Jewish charities, like Topeka’s Hebrew Ladies Benevolent Society, supported the Colorado facility.",charity,,,,Dr. David Katzman and Sharyn Brooks Katzman,,Image;StillImage,image/jpeg,eng,,https://rightsstatements.org/page/NKC/1.0/?language=en,image,https://jewishkansans.org/objects/js_017.jpg,https://jewishkansans.org/objects/thumbs/tn_js_017.jpg,https://jewishkansans.org/objects/thumbs/tn_js_017.jpg,"Signed receipt from the National Hospital for Consumptives, with visible fold marks","No. 11763
THE NATIONAL JEWISH HOSPITAL FOR CONSUMPTIVES
AT DENVER. COLO.	
May, 1905
THIS IS TO CERTIFY THAT Hebrew Ladies Benevolent Socity of Topeka, Kans. HAS PAID THE SUM OF Twenty-five and ——— […]/100 DOLLARS as annual subscription for 1905.
The National Jewish Hospital for Consumptives
By Alfred Miller 
Secretary."
js_018,,Donation receipt from Jewish Consumptives Relief Society,Jewish Consumptives Relief Society,,"January 12, 1906",charity,,,,Dr. David Katzman and Sharyn Brooks Katzman,,Image;StillImage,image/jpeg,eng,,https://rightsstatements.org/page/NKC/1.0/?language=en,image,https://jewishkansans.org/objects/js_018.jpg,https://jewishkansans.org/objects/thumbs/tn_js_018.jpg,https://jewishkansans.org/objects/thumbs/tn_js_018.jpg,Receipt from Jewish Consumptives Relief Society,"No. 3584 DENVER, COLO., JAN 12 1906
THE JEWISH CONSUMPTIVES’ RELIEF SOCIETY
כל המקיים נפש אחת מישראל כאילו קיים עולם מלא
“HE WHO SAVES ONE LIFE IS CONSIDERED AS IF HE PRESERVED THE WHOLE WORLD” – TALMUD
Mrs.  M. S. Smattinger. Pres
RECEIVED FROM Hebrew Ladies Benev. Society
DUES FROM __________ TO ___________ $. _______
DONATION __________________ $5.00
TOTAL, $ ______
ANNUAL DUES $________
[…] S[…] 
SECRETARY
PER _____________________"
js_019,,Graner's Record ,Industrial Removal Office,,"December 2, 1904",iro,,,,Dr. David Katzman and Sharyn Brooks Katzman,,Image;StillImage,image/jpeg,eng,,https://rightsstatements.org/page/NKC/1.0/?language=en,image,https://jewishkansans.org/objects/js_019.jpg,https://jewishkansans.org/objects/thumbs/tn_js_019.jpg,https://jewishkansans.org/objects/thumbs/tn_js_019.jpg,Creased form with entries on four lines ,"New York, Dec 2 1904
Surname Graner__________ Nativity Romania __________
Address 166 Allen ___________
Arrived in this country 2 years __________  Arrived in city __________
Language Germ ______________
Name | Age | Social State | Occupation | Present Location | Reference and Investigation
[…]idrre | 27 | M | […]pho[…] | NY |
Lucie | 24 | W. | | Romania |
Rifka | 2 |
Malke | 3/12 |
Show receipts for money […] – wife
Where Employed? | Haberstock 612 Grand […]
How Long? | 1 year […]
How Long Out of Work? | 5 Weeks"
js_020,,Biriruch's Record,Industrial Removal Office,1/12/1905,"Refugee resettlement programs, such as the Industrial Removal Office (IRO), often relied on recent immigrants following the paths of relatives who were already established within local communities. This method of placing immigrants helped to integrate recent refugees into existing community support structures. This record shows how a family might follow a relative to the Midwest. It also highlights the importance of an immigrant’s occupation to their application.",iro,,,,Dr. David Katzman and Sharyn Brooks Katzman,,Image;StillImage,image/jpeg,"eng, jii",,https://rightsstatements.org/page/NKC/1.0/?language=en,image,https://jewishkansans.org/objects/js_020.jpg,https://jewishkansans.org/objects/thumbs/tn_js_020.jpg,https://jewishkansans.org/objects/thumbs/tn_js_020.jpg,Form with information about four individuals,"New York, Jan 12 1905
Surname Biriwich ________ Nativity Russ. __________
Address 26 […] […] ________
Arrived in this country 9/12 ___________ Arrived in city _____________
Language Yiddish __________
Name | Age | Social State | Occupation | Present Location | Reference and Investigation
Leib | 31 | M | wo […]ade | Bklyn |
Rosie | 30 | W | | Rus |
Aaron | 10 |
Beu | 4 |
Where Employed? | […]el 65 Re[…] […]
How Long? | 3/12
How Long Out of Work? | 2 ½ m."
js_021,,Zeligman's Record,Industrial Removal Office,11/10/1904,,iro,,,,Dr. David Katzman and Sharyn Brooks Katzman,,Image;StillImage,image/jpeg,eng,,https://rightsstatements.org/page/NKC/1.0/?language=en,image,https://jewishkansans.org/objects/js_021.jpg,https://jewishkansans.org/objects/thumbs/tn_js_021.jpg,https://jewishkansans.org/objects/thumbs/tn_js_021.jpg,Creased form with entries for five people,"New York, Nov. 10 1904
Surname Zeligman __________ Nativity Russia __________
Address 231 Monroe St. ______________
Arrived in this country 3 months ____________ Arrived in city _________
Language Yiddish ____________
Name | Age | Social State | Occupation | Present Location | Reference and Investigation
Chaim | 31 | M. | Showmaker | NY |
Musche | 24 | […] | Rus. |
Esther | 11 |
Mote | 4 |
[…]nme | 1 |
Where Employed? | Levmick 3 […] E. 81st
How Long? | 1 month as funeral worker
How Long Out of Work? |"
js_022,,Telegraph Mrs. Snattinger from David M. Bressler,David M Bresslet,12/21/1905,,,"Topeka, Kansas",39.05110511,-95.67405855,Dr. David Katzman and Sharyn Brooks Katzman,,Image;StillImage,image/jpeg,eng,,https://rightsstatements.org/page/NKC/1.0/?language=en,image,https://jewishkansans.org/objects/js_022.jpg,https://jewishkansans.org/objects/thumbs/tn_js_022.jpg,https://jewishkansans.org/objects/thumbs/tn_js_022.jpg,Telegram with a tear through the middle ,"Form 168.
THE WESTERN UNION TELEGRAPH COMPANY. INCORPORATED
23,000 OFFICES IN AMERICA. CABLE SERVICE TO ALL THE WORLD.
This Company TRANSMITS and DELIVERS messages only on conditions limiting its liability which have been assented to by the sender of the following message. Errors can be guarded against only by repeating a message back to the sending station for comparison, and the Company will not hold itself liable for errors or delays in transmission or delivery of Unrepeated Messages, beyond the amount of tolls paid thereon, nor in any case where the claim is not presented in writing with sixty days after the message is filled with the Company for transmitting. 
This is an UNREPEATED MESSAGE, and is delivered by request of the sender, under the conditions named above.
ROBERT C. CLOWRY, President and General Manager.
RECEIVED at 621 Kansas Avenue, Topeka Kans.
EITHER TELEPHONE No. 51
1[…]7 – KS.NE.W 
753-PM.
33-paid.
New-York, Dec 21st-05

Mrs. M. Snaminger
Secy H.L.B. Society, Topeka, Kas,
Leib pievnick originally sent your city jany returned xxxxxxxxxx Europe august escaped from Odessa with Wife two children after recent massacres here new wants to return Topeka shall we help him wire answer immediately
David M Bressler.

ALWAYS OPEN.   MONEY TRANSFERRED BY TELEGRAPH.   CABLE OFFICE"
js_026,,Envelope to Mrs. M. Snattinger 309 West 10th st.,,,,letters,"Topeka, Kansas",39.04719829,-95.6800505,Dr. David Katzman and Sharyn Brooks Katzman,,Image;StillImage,image/jpeg,eng,,https://rightsstatements.org/page/NKC/1.0/?language=en,image,https://jewishkansans.org/objects/js_026.jpg,https://jewishkansans.org/objects/thumbs/tn_js_026.jpg,https://jewishkansans.org/objects/thumbs/tn_js_026.jpg,,"INDUSTRIAL REMOVAL OFFICE.
104 RIVINGTON STREET,
New York.
Mrs M. Smattinger
Secy H.L.B. Society
309 West 10th St.
Topeka. Kas."
js_028,,Meal Bills Paid by HLBS,Hebrew Ladies Benevolent Society,,"The women in the Hebrew Ladies Benevolent Society (HLBS) arranged charge accounts with restaurants, hotels, and transportation lines. These slips represent meals provided; the restaurants billed the HLBS for payment. Most Jewish Topekan women worked for wages downtown, often in their family businesses, so they were physically present to help provide these daily services. In Topeka, the Scrinopskies facilitated this aid; the Scrinopskie family came to Topeka sponsored by the IRO.",kosher food,"Topeka, Kansas","39.05462607470312,",-95.67206252,Dr. David Katzman and Sharyn Brooks Katzman,,Image;StillImage,image/jpeg,eng,,https://rightsstatements.org/page/NKC/1.0/?language=en,multiple,https://jewishkansans.org/objects/js_028a.jpg,https://jewishkansans.org/objects/thumbs/tn_js_028a.jpg,https://jewishkansans.org/objects/thumbs/tn_js_028a.jpg,,
js_028a,js_028,Meal Bills Paid by HLBS,Hebrew Ladies Benevolent Society,,,kosher food,"Topeka, Kansas","39.05462607470312,",-95.67206252,Dr. David Katzman and Sharyn Brooks Katzman,,Image;StillImage,image/jpeg,eng,,https://rightsstatements.org/page/NKC/1.0/?language=en,image,https://jewishkansans.org/objects/js_028a.jpg,https://jewishkansans.org/objects/thumbs/tn_js_028a.jpg,https://jewishkansans.org/objects/thumbs/tn_js_028a.jpg,,
js_028b,js_028,Meal Bills Paid by HLBS,Hebrew Ladies Benevolent Society,,,kosher food,"Topeka, Kansas",39.05462301,-95.6720889,Dr. David Katzman and Sharyn Brooks Katzman,,Image;StillImage,image/jpeg,eng,,https://rightsstatements.org/page/NKC/1.0/?language=en,image,https://jewishkansans.org/objects/js_028b.jpg,https://jewishkansans.org/objects/thumbs/tn_js_028b.jpg,https://jewishkansans.org/objects/thumbs/tn_js_028b.jpg,,
js_029,,"Evelope from Industrial Removal Office to Hebrew Ladies Society, Mrs. M Snattinger, sec.",Industrial Removal Office,,,letters,,,,Dr. David Katzman and Sharyn Brooks Katzman,,Image;StillImage,image/jpeg,eng,,https://rightsstatements.org/page/NKC/1.0/?language=en,image,https://jewishkansans.org/objects/js_029.jpg,https://jewishkansans.org/objects/thumbs/tn_js_029.jpg,https://jewishkansans.org/objects/thumbs/tn_js_029.jpg,,"[…] REMOVAL OFFICE,
[…] NGTON STREET,
[…] NEW YORK.

The Hebrew Ladies Ben. Society
Mrs. M. Smattinger, Secy,
Van B[…] ST_
10th St Topeka Kans."
js_030,,Reminder cards for Hebrew Ladies Benevolent Society,Hebrew Ladies Benevolent Society,,,hbls,,,,Dr. David Katzman and Sharyn Brooks Katzman,,Image;StillImage,image/jpeg,eng,,https://rightsstatements.org/page/NKC/1.0/?language=en,image,https://jewishkansans.org/objects/js_030.jpg,https://jewishkansans.org/objects/thumbs/tn_js_030.jpg,https://jewishkansans.org/objects/thumbs/tn_js_030.jpg,,"______________19___.
A ________________ meeting of the Hebrew Ladies Benevolent Soceity will be held ________________19____, at 8 P.M. at the home of _____________________________________________
Please be sure and come.
________________ Secretary.  "
js_031,,Schapiro's Record,Industrial Removal Office,11/4/1904,,iro,,,,Dr. David Katzman and Sharyn Brooks Katzman,,Image;StillImage,image/jpeg,eng,,https://rightsstatements.org/page/NKC/1.0/?language=en,image,https://jewishkansans.org/objects/js_031.jpg,https://jewishkansans.org/objects/thumbs/tn_js_031.jpg,https://jewishkansans.org/objects/thumbs/tn_js_031.jpg,,"New York, Nov 4 1904
Surname Schapiro_______________ Nativity Russia ____________
Address 31 Norfolk […] Jarmick _____________
Arrived in this country 5 month _____________ Arrived in this city _____
Language Germ _______
Name | Age | Social State | Occupation | Present Location | Reference and Investigation | 
Leib | 28 | S. | Blacksmith […] worker | NY | Parents – Abroad
Where Employed? | For himself
How long? | How long out of work? |"
js_032,,Envelope to Mrs Sara Galitsky,,6/16/1931,,letters,"Topeka, Kansas",39.04651576,-95.70053505,Dr. David Katzman and Sharyn Brooks Katzman,,Image;StillImage,image/jpeg,eng,,https://rightsstatements.org/page/NKC/1.0/?language=en,image,https://jewishkansans.org/objects/js_032.jpg,https://jewishkansans.org/objects/thumbs/tn_js_032.jpg,https://jewishkansans.org/objects/thumbs/tn_js_032.jpg,,"The Grayce 
HOSIERY SHOPPE
720 KANSAS AVENUE
TOPEKA, KANSAS

TOPEKA KANS. 2 PM JUN 16 1931
Mrs Sara Galitzky,
1185 College,
Topeka, Kansas"
js_034,,Note to HLBS on Orient Hotel paper,,,,hbls,,,,Dr. David Katzman and Sharyn Brooks Katzman,,Image;StillImage,image/jpeg,eng,,https://rightsstatements.org/page/NKC/1.0/?language=en,image,https://jewishkansans.org/objects/js_034.jpg,https://jewishkansans.org/objects/thumbs/tn_js_034.jpg,https://jewishkansans.org/objects/thumbs/tn_js_034.jpg,,
js_036,,Blintz Brunch Bake Sale Ticket,Lawrence Jewish Community Congregation,10/2/1986,,blintz brunch,"Lawrence, Kansas",38.96736397,-95.2594245,Dr. David Katzman and Sharyn Brooks Katzman,,Image;StillImage,image/jpeg,eng,,https://rightsstatements.org/page/NKC/1.0/?language=en,image,https://jewishkansans.org/objects/js_036.png,https://jewishkansans.org/objects/thumbs/tn_js_036.jpg,https://jewishkansans.org/objects/thumbs/tn_js_036.jpg,,"21st ANNUAL
Sunday, November 2, 1986
10 a.m. – 2 p.m.
Jewish Community Center
9th & Highland
Donation $3.00
Israeli Gift Items"
js_037,,Yiddish Map of the United States,Industrial Removal Office,,"Recent immigrants, especially first-generation refugees, are often forced to navigate foreign spaces in unfamiliar languages. Nearly all of the two-million Jewish immigrants from Eastern Europe (1880-1924) spoke Yiddish. This map from the Industrial Removal Office provides essential information about U.S. states and cities. Immigrant guidebooks would publish similar maps, which were important resources for new Americans making their way across the country.",iro; yiddish,"New York City, New York",,,Dr. David Katzman and Sharyn Brooks Katzman,,Image;StillImage,image/jpeg,eng,,https://rightsstatements.org/page/NKC/1.0/?language=en,image,https://jewishkansans.org/objects/js_037.jpg,https://jewishkansans.org/objects/js_037.jpg,https://jewishkansans.org/objects/js_037.jpg,,
js_038,,Hurowitch's Record,Industrial Removal Office,1/9/1906,,iro,,,,Dr. David Katzman and Sharyn Brooks Katzman,,Image;StillImage,image/jpeg,eng,,https://rightsstatements.org/page/NKC/1.0/?language=en,image,https://jewishkansans.org/objects/js_038.jpg,https://jewishkansans.org/objects/thumbs/tn_js_038.jpg,https://jewishkansans.org/objects/thumbs/tn_js_038.jpg,,"CONSIGNEE’S RECORD
Appl. No. ________ Rem. No.  ________ New York 1/9 1906
Name Hurowitch _____ Nativity Ruse (Odessa)_____ Language Yid
Address 2236 14th St. _____ Care of _______ Arrived in U.S. 1 Yr.
Occupation here _________ Abroad _________ Tools ______
Last Employed Join Hueband _______ Request
How Long _______ Wages _______ How long Idle _____
Relatives of Friends in N.Y. Aunt above address / ________ Relatives or Friends Elsewhere in U.S. (Hueband) Shia Hurowitch in Kansas are Topeka Kan.

FAMILY RECORD
Name | Age | Social Status| Doctor’s Report | Occupation | Present Location | Remarks
Sonia | 22 | W | | Join Hueband | N.Y. |
Morris |  […] | 
Shia | 24| […] | | Men’s Tailor | Topeka, Kan.

Sent to __________ Address _________ Date ____________"
